,,,,,,,,,,,,"Survey","Participant","Question 1"
,,,,,,,,,,,,,"Question Text","קוד משתתף (בנוי תחילה מהסימן ""#"" ואז ארבע ספרות)"
,,,,,,,,,,,,,"Response Type","Text"
"Start Date","End Date","Time Scheduled","Duration (in seconds)","Day of Survey","Occasion within Day","Finished","Participant ID","Location - Lat","Location - Long","No Login","Group Code","ip address","Choices",
"12/17/2024 06:36PM","12/17/2024 06:36PM","12/17/2024 12:00AM - 12/17/2024 11:59PM",19.894,"1","1","Finished","6761a67e8b60efe498aced32","0.0","0.0","no","-","192.168.1.247","Participant 1","#7336"
"12/18/2024 06:27PM","12/18/2024 06:27PM","12/18/2024 12:00AM - 12/18/2024 11:59PM",17.855,"1","1","Finished","6762f36917bb529f7000ba33",,,"no","-","192.168.1.196","Participant 2","#7318"
"12/25/2024 07:05AM","12/25/2024 07:06AM","12/25/2024 12:00AM - 12/25/2024 11:59PM",22.91,"1","1","Finished","674755637c2f821e9bb51e03","0.0","0.0","no","-","2a02:14f:1f2:813d:1069:e4f7:1a1e:b014","Participant 3","#7318"
"01/06/2025 07:54PM","01/06/2025 07:54PM","01/06/2025 12:00AM - 01/06/2025 11:59PM",17.849,"1","1","Finished","677c161092b3eb66e2131ff5",,,"no","-","10.100.102.75","Participant 4","#7330"
"01/12/2025 08:42PM","01/12/2025 08:42PM","01/12/2025 12:00AM - 01/12/2025 11:59PM",27.537,"1","1","Finished","6783ed149132493f1e0a2697","0.0","0.0","no","-","192.168.1.253","Participant 5","#7346"
"01/15/2025 06:33PM","01/15/2025 06:33PM","01/15/2025 12:00AM - 01/15/2025 11:59PM",9.932,"1","1","Finished","6787c23313aa347c7f08e3cc",,,"no","-","192.168.1.221","Participant 6","#7344"
"01/20/2025 12:31PM","01/20/2025 12:31PM","01/20/2025 12:00AM - 01/20/2025 11:59PM",41.131,"1","1","Finished","678d249858adab1eb9365f80",,,"no","-","10.131.206.175","Participant 7",": #7340 
"
"01/20/2025 08:36PM","01/20/2025 08:36PM","01/20/2025 12:00AM - 01/20/2025 11:59PM",27.078,"1","1","Finished","678ce78d58adab1eb934bf55","0.0","0.0","no","-","10.0.0.24","Participant 8","#7332"
"01/26/2025 08:35PM","01/26/2025 08:35PM","01/26/2025 12:00AM - 01/26/2025 11:59PM",23.305,"1","1","Finished","67967926fd75d39f735b1ed7","0.0","0.0","no","-","2a0d:6fc0:724:3800:81a0:4f2f:37d1:ecc2","Participant 9","#7338"
"02/05/2025 05:27PM","02/05/2025 05:27PM","02/05/2025 12:00AM - 02/05/2025 11:59PM",15.394,"1","1","Finished","67a3816fba402d566c839a95","0.0","0.0","no","-","10.100.102.82","Participant 10","#7374"
"02/05/2025 08:47PM","02/05/2025 08:48PM","02/05/2025 12:00AM - 02/05/2025 11:59PM",55.535,"1","1","Finished","67a3a968ba402d566c84e894","0.0","0.0","no","-","192.168.1.54","Participant 11","#7366"
"02/11/2025 04:04PM","02/11/2025 04:04PM","02/11/2025 12:00AM - 02/11/2025 11:59PM",15.896,"1","1","Finished","67aa52e393e9af387811b0ca","0.0","0.0","no","-","10.100.102.244","Participant 12","#7388"
"02/12/2025 06:46PM","02/12/2025 06:46PM","02/12/2025 12:00AM - 02/12/2025 11:59PM",16.908,"1","1","Finished","67ac91178eb0e335f94140d3","0.0","0.0","no","-","192.168.1.205","Participant 13","girlm123"
"02/13/2025 07:54PM","02/13/2025 07:55PM","02/13/2025 12:00AM - 02/13/2025 11:59PM",12.094,"1","1","Finished","67ae2f9258056d402b063da2","0.0","0.0","no","-","192.168.68.102","Participant 14","#7372"
"02/20/2025 05:30PM","02/20/2025 05:31PM","02/20/2025 12:00AM - 02/20/2025 11:59PM",14.173,"1","1","Finished","67b4c9269b9b93fbbdf32eed","0.0","0.0","no","-","2a02:6680:1009:3089:a9c1:f629:5e7d:639a","Participant 15","#7376"
"03/04/2025 07:46PM","03/04/2025 07:46PM","03/04/2025 12:00AM - 03/04/2025 11:59PM",18.521,"1","1","Finished","67c7396e46dea88167ee172c",,,"no","-","10.0.0.14","Participant 16","#7390"
"03/13/2025 03:55PM","03/13/2025 03:55PM","03/13/2025 12:00AM - 03/13/2025 11:59PM",9.476,"1","1","Finished","67d1a78ec1ae9946c566737d",,,"no","-","192.168.1.130","Participant 17","#7428"
"03/17/2025 07:30PM","03/17/2025 07:30PM","03/17/2025 12:00AM - 03/17/2025 11:59PM",15.881,"1","1","Finished","67d84bc6c1ae9946c5b95535",,,"no","-","10.100.102.84","Participant 18","#7430"
"03/19/2025 04:40PM","03/19/2025 04:41PM","03/19/2025 12:00AM - 03/19/2025 11:59PM",24.787,"1","1","Finished","66e03ee644f1da2a6001020f",,,"no","-","10.100.102.5","Participant 19","test-test"
