,,,,,,,,,,,,"Survey","Participant","Question 1","{{Q://Q2/ChoiceTextEntryValue}}.1","{{Q://Q2/ChoiceTextEntryValue}}.2","Question 3","Question 4","Question 5","Question 6","Question 7","Question 8","Question 9","Question 10","Question 11","Question 12","{{Q://Q13/ChoiceTextEntryValue}}","Question 14","Question 15","Question 16","{{Q://Q17/ChoiceTextEntryValue}}.1","{{Q://Q17/ChoiceTextEntryValue}}.2","{{Q://Q17/ChoiceTextEntryValue}}.3","{{Q://Q17/ChoiceTextEntryValue}}.4","{{Q://Q17/ChoiceTextEntryValue}}.5","{{Q://Q17/ChoiceTextEntryValue}}.6","Question 18","Question 19","Question 20","Question 21","Question 22","Question 23","Question 24","Question 25"
,,,,,,,,,,,,,"Question Text","מאז הסקר האחרון, הסכמתי לילד/ה שלי כל מה שרצ/תה","מאז הסקר האחרון איימתי להעניש את הילד/ה שלי ואז לא עשיתי זאת","מאז הסקר האחרון איימתי להעניש את הילד/ה שלי ואז לא עשיתי זאת","מאז הסקר האחרון, הייתי סבלני/ת כלפי הילד/ה שלי","מאז הסקר האחרון, העברתי ביקורת על הילד/ה שלי","מאז הסקר האחרון, התעצבנתי או צעקתי על הילד/ה שלי","היום עזרתי בפעילות שבה הילד/ה שלי מעורב, או עזרתי לו/ה במשהו כללי אחר (כמו הקפצה לחוג, עזרה בשיעורי בית וכו')","מאז הסקר האחרון, החמאתי לילד/ה שלי כשהוא/היא עשה/תה משהו בצורה טובה","היום אני והילד/ה שלי בילינו זמן כיף ביחד","מאז הסקר האחרון, הילד/ה שלי שיתף/ה אותי ברגשות/תחושות שלו/ה ","היום דיברתי עם הילד/ה שלי על היום שלו/ה או על החברים שלו/ה","מאז הסקר האחרון, הילד/ה שלי עצבן/ה אותי","מאז הסקר האחרון, הרגשתי בטוח/ה ביכולותיי ההוריות","(אפשר גם להקליט תשובה) תן/י דוגמאות למשהו שעצבן את הילד/ה שלך היום (טריגר)","מאז הסקר האחרון, הילד/ה שלי הרגיש/ה מתוסכל/ת","מאז הסקר האחרון, הילד/ה שלי כעס/ה או התעצבן/ה כשדברים לא קרו כמו שהוא/היא רצה/תה","למיטב ידיעתי - ברגע זה, הילד/ה שלי מרגיש/ה מרוגז/ת או כועס/ת","מאז הסקר האחרון, הילד/ה שלי התפרץ/ה בכעס באחת או יותר מהדרכים הבאות","מאז הסקר האחרון, הילד/ה שלי התפרץ/ה בכעס באחת או יותר מהדרכים הבאות","מאז הסקר האחרון, הילד/ה שלי התפרץ/ה בכעס באחת או יותר מהדרכים הבאות","מאז הסקר האחרון, הילד/ה שלי התפרץ/ה בכעס באחת או יותר מהדרכים הבאות","מאז הסקר האחרון, הילד/ה שלי התפרץ/ה בכעס באחת או יותר מהדרכים הבאות","מאז הסקר האחרון, הילד/ה שלי התפרץ/ה בכעס באחת או יותר מהדרכים הבאות","מאז הסקר האחרון, יצא שהילד/ה שלי אמר/ה את הדבר הראשון שעלה לו/ה לראש מבלי לעצור ולחשוב","מאז הסקר האחרון, לילד/ה שלי היה קשה להפסיק לעשות משהו כאשר ביקשו ממנו/ה להפסיק ","מאז הסקר האחרון, הילד/ה שלי הרגיש/ה עצוב/ה או מדוכא/ת","למיטב ידיעתי - ברגע זה הילד/ה שלי מרגיש/ה טוב","למיטב ידיעתי - ברגע זה הילד/ה שלי מרגיש/ה חסר/ת מנוחה","מאז הסקר האחרון, דעתו/ה של הילד/ה שלי הוסחה בקלות","למיטב ידיעתי - ברגע זה, הילד/ה שלי מרגיש/ה פחד או לחץ","מאז הסקר האחרון, הילד/ה שלי הרגיש/ה מודאג/ת או מפוחד/ת"
,,,,,,,,,,,,,"Response Type","Scale","Multiple selection","Multiple selection","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Text","Scale","Scale","Scale","Multiple selection","Multiple selection","Multiple selection","Multiple selection","Multiple selection","Multiple selection","Scale","Scale","Scale","Scale","Scale","Scale","Scale","Scale"
"Start Date","End Date","Time Scheduled","Duration (in seconds)","Day of Survey","Occasion within Day","Finished","Participant ID","Location - Lat","Location - Long","No Login","Group Code","ip address","Choices","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ כן ]","[ לא ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]",,"[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ צעק/ה ]","[ טרק/ה דלת ]","[ זרק/ה משהו ]","[ הרביץ/ה או פגע/ה במישהו ]","[ לא התפרץ/ה בכעס ]","[ אחר (בבקשה לפרט) ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]","[ start_point_label = 'בכלל לא', middle_point_label = 'במידה בינונית', end_point_label = 'במידה רבה מאוד',  ]"
"11/30/2024 05:19PM","11/30/2024 05:22PM","11/30/2024 05:00PM - 11/30/2024 11:00PM",184.363,"2","1","Finished","67484de67c2f821e9bbc3e5d",,,"no","-","192.168.1.161","Participant 5","6","No","Yes","5","2","3","5","4","7","6","5","4","6","שהתוכי שלנו עשה קקי על הסקייטבורד שלו","2","5","2","No","No","No","No","Yes","","6","5","1","6","1","5","1","1"
"12/01/2024 05:33PM","12/01/2024 05:35PM","12/01/2024 05:00PM - 12/01/2024 11:00PM",105.359,"3","1","Finished","67484de67c2f821e9bbc3e5d",,,"no","-","192.168.1.161","Participant 5","4","No","Yes","4","2","5","1","5","2","2","5","3","6","הוא ציין שיש אתגר קפיצה בחבל היום ושלא רצה להשתתף","1","2","1","No","No","No","No","Yes","","5","5","1","6","5","5","1","1"
"12/02/2024 07:51PM","12/02/2024 07:53PM","12/02/2024 05:00PM - 12/02/2024 11:00PM",120.508,"4","1","Finished","67484de67c2f821e9bbc3e5d",,,"no","-","192.168.1.161","Participant 5","2","Yes","No","3","2","6","2","4","3","3","5","6","6","האחראים בצהרון","1","2","1","No","No","No","No","Yes","","4","4","1","7","2","5","1","1"
"12/03/2024 09:40PM","12/03/2024 09:41PM","12/03/2024 05:00PM - 12/03/2024 11:00PM",104.686,"5","1","Finished","67484de67c2f821e9bbc3e5d",,,"no","-","10.0.0.13","Participant 5","2","Yes","No","4","3","6","7","4","3","4","5","6","5","לא רצה להכין שיעורים כשביקשתי ממנו שוב ושוב","2","5","1","No","No","No","No","Yes","","4","5","1","6","1","1","1","1"
"12/04/2024 09:51PM","12/04/2024 09:53PM","12/04/2024 05:00PM - 12/04/2024 11:00PM",143.559,"6","1","Finished","67484de67c2f821e9bbc3e5d",,,"no","-","10.84.225.246","Participant 5","3","No","Yes","3","3","6","5","3","4","2","4","5","6","כעסתי עליו כשהוא יצא בלי מעיל. זה עצבן אותו שככה קיבלתי את פניו והוא צודק","2","5","2","No","No","No","No","No","מלמל משהו שלא הבנתי","4","6","2","6","2","4","2","1"
"12/05/2024 09:14PM","12/05/2024 09:16PM","12/05/2024 05:00PM - 12/05/2024 11:00PM",132.523,"7","1","Finished","67484de67c2f821e9bbc3e5d",,,"no","-","192.168.1.161","Participant 5","3","No","Yes","5","4","4","2","4","5","4","6","4","6","הערתי לו על משהו והוא לא אהב את זה","2","3","2","No","No","No","No","Yes","","4","5","2","6","2","4","1","1"
"12/06/2024 05:02PM","12/06/2024 05:03PM","12/06/2024 05:00PM - 12/06/2024 11:00PM",108.936,"8","1","Finished","67484de67c2f821e9bbc3e5d",,,"no","-","10.0.0.7","Participant 5","4","No","Yes","4","3","3","6","5","5","3","5","4","6","להכין שיעורי בית","1","2","2","No","No","No","No","Yes","","3","4","2","6","3","5","1","1"
